VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9622,0.9443,0.9590,0.9658,0.9612
300,0.9518,0.9474,0.9535,0.9696,0.9723
100,0.9441,0.9274,0.9431,0.9612,0.9567
50,0.9250,0.9204,0.9341,0.9553,0.9586
30,0.8986,0.8902,0.9170,0.9342,0.9370
10,0.8177,0.7741,0.8254,0.9098,0.9132
