VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9725,0.9529,0.9451,0.9568,0.9568
300,0.9686,0.9333,0.9490,0.9608,0.9529
100,0.9529,0.9333,0.9372,0.9371,0.9451
50,0.9215,0.9216,0.9333,0.9253,0.9254
30,0.9135,0.9215,0.9097,0.9056,0.9097
10,0.8941,0.8077,0.8862,0.8784,0.8978
