VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9447,0.9379,0.9521,0.9553,0.9314
300,0.9398,0.9314,0.9523,0.9534,0.9491
100,0.9235,0.9190,0.9411,0.9398,0.9307
50,0.9178,0.8842,0.9374,0.9280,0.9335
30,0.8941,0.8404,0.9159,0.9159,0.9059
10,0.8437,0.6874,0.8361,0.8737,0.8737
