VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9584,0.9318,0.9575,0.9712,0.9584
300,0.9612,0.9199,0.9533,0.9687,0.9434
100,0.9366,0.9144,0.9535,0.9634,0.9589
50,0.9215,0.8952,0.9539,0.9520,0.9507
30,0.8807,0.8613,0.9289,0.9381,0.9149
10,0.7063,0.6288,0.7832,0.8876,0.8739
