VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9647,0.9489,0.9608,0.9529,0.9569
300,0.9686,0.9372,0.9647,0.9725,0.9686
100,0.9569,0.9254,0.9686,0.9529,0.9529
50,0.9333,0.9294,0.9490,0.9331,0.9410
30,0.9136,0.9333,0.9293,0.9253,0.9214
10,0.9175,0.7801,0.9175,0.8977,0.9055
