VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9652,0.9483,0.9483,0.9624,0.9583
300,0.9406,0.9256,0.9508,0.9508,0.9536
100,0.9262,0.9152,0.9499,0.9477,0.9459
50,0.9071,0.8897,0.9337,0.9372,0.9426
30,0.8976,0.8291,0.9283,0.9187,0.8908
10,0.8326,0.6573,0.8345,0.8695,0.8629
