VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9686,0.9568,0.9569,0.9568,0.9568
300,0.9686,0.9490,0.9569,0.9568,0.9529
100,0.9490,0.9294,0.9569,0.9332,0.9332
50,0.9333,0.9294,0.9333,0.9253,0.9253
30,0.9176,0.9412,0.9058,0.9137,0.9058
10,0.8901,0.7668,0.8782,0.8705,0.8784
