VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9611,0.9423,0.9564,0.9712,0.9645
300,0.9501,0.9420,0.9563,0.9658,0.9700
100,0.9384,0.9301,0.9458,0.9649,0.9589
50,0.9205,0.9237,0.9449,0.9235,0.9428
30,0.8997,0.8948,0.9224,0.9391,0.9363
10,0.8326,0.7717,0.8416,0.9097,0.9064
