VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9725,0.9371,0.9450,0.9647,0.9529
300,0.9686,0.9490,0.9411,0.9686,0.9529
100,0.9331,0.9255,0.9451,0.9450,0.9490
50,0.9135,0.9097,0.9372,0.9253,0.9411
30,0.8821,0.9294,0.9019,0.9098,0.9254
10,0.8941,0.7852,0.8902,0.8978,0.8897
