VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9725,0.9292,0.9608,0.9647,0.9647
300,0.9765,0.9292,0.9647,0.9725,0.9686
100,0.9490,0.9254,0.9608,0.9647,0.9569
50,0.9136,0.9333,0.9490,0.9411,0.9411
30,0.9017,0.9137,0.9333,0.9254,0.9214
10,0.9175,0.8237,0.8814,0.8975,0.8975
