VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9595,0.9361,0.9590,0.9647,0.9546
300,0.9555,0.9312,0.9561,0.9613,0.9623
100,0.9435,0.9071,0.9449,0.9640,0.9548
50,0.9063,0.8646,0.9386,0.9405,0.9431
30,0.8795,0.8329,0.9340,0.9370,0.9363
10,0.8137,0.6288,0.7929,0.8970,0.8698
