VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9725,0.9725,0.9608,0.9490,0.9568
300,0.9686,0.9490,0.9569,0.9608,0.9568
100,0.9490,0.9294,0.9451,0.9411,0.9371
50,0.9372,0.9372,0.9451,0.9214,0.9372
30,0.9216,0.9215,0.9333,0.9254,0.9332
10,0.8901,0.7668,0.8782,0.8819,0.8784
