VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9686,0.9253,0.9686,0.9529,0.9608
300,0.9647,0.9254,0.9686,0.9608,0.9725
100,0.9490,0.9175,0.9490,0.9372,0.9293
50,0.9057,0.9137,0.9490,0.9214,0.9176
30,0.9017,0.9176,0.9333,0.9135,0.9214
10,0.9175,0.8237,0.8814,0.8975,0.8975
