VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9626,0.9386,0.9521,0.9514,0.9528
300,0.9413,0.9219,0.9564,0.9524,0.9459
100,0.9205,0.9094,0.9466,0.9431,0.9365
50,0.9039,0.8811,0.9310,0.9016,0.9405
30,0.8803,0.7765,0.9183,0.9215,0.9204
10,0.8271,0.6349,0.8320,0.8738,0.8719
