VS,SVM,MNB,RF,TextCNN,LSTM
500,0.9686,0.9411,0.9608,0.9529,0.9490
300,0.9686,0.9490,0.9647,0.9529,0.9529
100,0.9333,0.9176,0.9608,0.9608,0.9647
50,0.9451,0.9176,0.9529,0.9411,0.9332
30,0.9294,0.9294,0.9293,0.9372,0.9253
10,0.9098,0.7933,0.8980,0.9136,0.9056
